2973230;Passage de la Teignouse;Passage de la Teignouse;;47.43349;-3.06796;H;STRT;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2973237;Embouchure du Tech;Embouchure du Tech;Gola del Tec;42.58949;3.04476;H;STMM;FR;;A9;;;;0;;-9999;Europe/Paris;2008-09-12
2973238;Tech;Tech;"Le Tech Riviere,Le Tech Rivière,Rio Tec,Riu Tec,Río Tec,el Tec,tai shen he,泰什河";42.58935;3.04426;H;STM;FR;FR;A9;;;;0;;0;Europe/Paris;2011-10-20
2973255;Tavignano;Tavignano;"Le Tavignano Riviere,Le Tavignano Rivière,Tavignano";42.1043;9.54729;H;STM;FR;;A5;;;;0;;-2;Europe/Paris;2011-10-20
2973265;Tave;Tave;"La Tave Riviere,La Tave Rivière,Tave";44.1152;4.69767;H;STM;FR;;A9;;;;0;;29;Europe/Paris;2012-01-18
2973277;Tautavel;Tautavel;"Talteuell,Talteüll,Tautavel";42.81435;2.74644;P;PPL;FR;;A9;66;662;66205;928;;111;Europe/Paris;2012-01-18
2973278;Pic de la Tausse;Pic de la Tausse;;42.53077;2.14975;T;PK;FR;;A9;66;;;0;;2033;Europe/Paris;2011-10-09
2973286;Taurinya;Taurinya;Taurinya;42.57948;2.42669;P;PPL;FR;;A9;66;663;66204;336;;560;Europe/Paris;2012-01-18
2973296;Château du Taureau;Chateau du Taureau;"Chateau du Taurean,Chateau du Taureau,Château du Taurean,Château du Taureau";48.68333;-3.88333;S;HSEC;FR;FR;A2;;;;0;;-9999;Europe/Paris;2012-01-18
2973299;Teulís;Teulis;"Taulis,Teulis,Teulís";42.52301;2.63226;P;PPL;FR;;A9;66;661;66203;49;;556;Europe/Paris;2011-11-02
2973312;Île de Tatihou;Ile de Tatihou;"Ile de Tatihou,Île de Tatihou";49.58878;-1.24411;T;ISL;FR;;99;;;;0;;2;Europe/Paris;2012-01-18
2973369;Targassonne;Targassonne;"Targasonne,Targassonne";42.49833;1.9968;P;PPL;FR;;A9;66;663;66202;193;;1593;Europe/Paris;2012-01-18
